radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,44,4,10,71,52,86,39,93,50,102
0,87,100,48,14,35,5,28,21,57,72
1,69,16,45,95,18,30,74,32,100,44
0,69,98,57,14,102,42,19,30,75,34
1,93,68,11,23,102,70,25,50,21,73
0,95,100,91,45,39,41,86,11,72,84
0,104,72,79,69,26,112,31,8,21,67
0,87,104,94,30,78,21,37,5,8,70
1,22,8,33,87,28,21,84,1,29,20
1,26,93,44,57,11,59,46,101,89,112
0,36,7,26,18,11,32,94,78,65,68
1,48,2,8,33,46,15,58,62,11,72
1,21,27,77,47,85,46,71,19,42,5
0,26,21,69,9,104,42,86,61,68,39
0,35,31,100,28,23,53,74,69,67,50
0,28,46,6,70,73,11,48,7,44,100
1,39,73,50,45,21,11,44,26,16,104
